15k COMPOUNDING MODEL  ▸  Sequential 6.28% Profit Chain  ▸  Tax: 20% STCG (Post Budget Jul 2024)  ▸  Reinvestment: 50% of after-tax profit,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
138,380811.2101,404726.15409428,23914.94399,942.6448369,22972.29915,4778.238224,18194.06093,9097.030465,9097.030465
139,389908.2405,414394.4780034,24486.23751,965.1632623,23521.07424,4892.383442,18628.6908,9314.3454,9314.3454
140,399222.5859,424293.76429452,25071.1784,988.2196203,24082.95878,5009.255425,19073.70335,9536.851675,9536.851675
141,408759.4376,434429.53028128,25670.09268,1011.826761,24658.26592,5128.919311,19529.34661,9764.673304,9764.673304
142,418524.1109,444807.42506452,26283.31416,1035.997843,25247.31632,5251.441795,19995.87453,9997.937263,9997.937263
143,428522.0482,455433.23282696,26911.18463,1060.746337,25850.43829,5376.891164,20473.54712,10236.77356,10236.77356
144,438758.8217,466312.87570276,27554.054,1086.086037,26467.96797,5505.337337,20962.63063,10481.31532,10481.31532
145,449240.137,477452.4176036,28212.28061,1112.031066,27100.24954,5636.851905,21463.39764,10731.69882,10731.69882
146,459971.8359,488858.06719452,28886.23129,1138.595884,27747.63541,5771.508165,21976.12724,10988.06362,10988.06362
147,470959.8995,500536.1811886,29576.28169,1165.795297,28410.48639,5909.381169,22501.10522,11250.55261,11250.55261
148,482210.4521,512493.26849188,30282.81639,1193.644465,29089.17193,6050.547761,23038.62417,11519.31208,11519.31208
149,493729.7642,524735.99339176,31006.22919,1222.158909,29784.07028,6195.086619,23588.98366,11794.49183,11794.49183
150,505524.256,537271.1792768,31746.92328,1251.354522,30495.56876,6343.078301,24152.49045,12076.24523,12076.24523
151,517600.5012,550105.81267536,32505.31148,1281.247577,31224.0639,6494.605291,24729.45861,12364.7293,12364.7293
152,529965.2305,563247.0469754,33281.81648,1311.854733,31969.96175,6649.752043,25320.2097,12660.10485,12660.10485
153,542625.3354,576702.20646312,34076.87106,1343.19305,32733.67801,6808.605027,25925.07299,12962.53649,12962.53649
154,555587.8719,590478.79025532,34890.91835,1375.279995,33515.63836,6971.252779,26544.38558,13272.19279,13272.19279
155,568860.0647,604584.47676316,35724.41206,1408.13345,34316.27861,7137.785951,27178.49266,13589.24633,13589.24633
156,582449.311,619027.1277308,36577.81673,1441.771726,35136.045,7308.297361,27827.74764,13913.87382,13913.87382
157,596363.1848,633814.79280544,37451.60801,1476.213573,35975.39443,7482.882042,28492.51239,14246.2562,14246.2562
158,610609.441,648955.7138948,38346.2729,1511.478186,36834.79471,7661.6373,29173.15741,14586.57871,14586.57871
159,625196.0197,664458.32973716,39262.31004,1547.585219,37714.72482,7844.662763,29870.06206,14935.03103,14935.03103
160,640131.0508,680331.28079024,40200.22999,1584.554798,38615.67519,8032.06044,30583.61475,15291.80738,15291.80738
161,655422.8581,696583.41358868,41160.55549,1622.407526,39538.14796,8223.934777,31314.21319,15657.10659,15657.10659
162,671079.9647,713223.78648316,42143.82179,1661.164501,40482.65728,8420.392715,32062.26457,16031.13228,16031.13228
163,687111.097,730261.6738916,43150.57689,1700.847325,41449.72957,8621.54375,32828.18582,16414.09291,16414.09291
164,703525.1899,747706.57182572,44181.38193,1741.478114,42439.90381,8827.499993,33612.40382,16806.20191,16806.20191
165,720331.3918,765568.20320504,45236.81141,1783.079514,43453.73189,9038.376234,34415.35566,17207.67783,17207.67783
166,737539.0697,783856.52327716,46317.45357,1825.674711,44491.77886,9254.290004,35237.48886,17618.74443,17618.74443
167,755157.8141,802581.72482548,47423.91073,1869.287447,45554.62328,9475.361642,36079.26164,18039.63082,18039.63082
168,773197.4449,821754.24443972,48556.79954,1913.942027,46642.85751,9701.714363,36941.14315,18470.57158,18470.57158
169,791668.0165,841384.7679362,49716.75144,1959.663341,47757.08809,9933.474324,37823.61377,18911.80689,18911.80689
170,810579.8234,861484.23630952,50904.41291,2006.476872,48897.93604,10170.7707,38727.16534,19363.58267,19363.58267
171,829943.406,882063.8518968,52120.4459,2054.40871,50066.03719,10413.73574,39652.30145,19826.15073,19826.15073
172,849769.5568,903135.08496704,53365.52817,2103.48557,51262.0426,10662.50486,40599.53774,20299.76887,20299.76887
173,870069.3256,924709.67924768,54640.35365,2153.734806,52486.61884,10917.21672,41569.40212,20784.70106,20784.70106
174,890854.0267,946799.65957676,55945.63288,2205.184424,53740.44845,11178.01328,42562.43517,21281.21759,21281.21759
175,912135.2443,969417.33764204,57282.09334,2257.863098,55024.23024,11445.03989,43579.19035,21789.59518,21789.59518
176,933924.8395,992575.3194206,58650.47992,2311.800191,56338.67973,11718.44538,44620.23434,22310.11717,22310.11717
177,956234.9566,1016286.51187448,60051.55528,2367.025762,57684.52951,11998.38214,45686.14738,22843.07369,22843.07369
178,979078.0303,1040564.13060284,61486.1003,2423.570593,59062.52971,12285.00618,46777.52353,23388.76177,23388.76177
179,1002466.792,1065421.7065376,62954.91454,2481.466198,60473.44834,12578.47726,47894.97109,23947.48554,23947.48554
180,1026414.278,1090873.0946584,64458.81664,2540.744846,61918.07179,12878.95893,49039.11286,24519.55643,24519.55643
181,1050933.834,1116932.4787752,65998.64478,2601.439575,63397.2052,13186.61868,50210.58652,25105.29326,25105.29326
182,1076039.127,1143614.3841756,67575.2572,2663.584214,64911.67298,13501.62798,51410.045,25705.0225,25705.0225
183,1101744.15,1170933.68262,69189.53261,2727.213399,66462.31921,13824.1624,52638.15681,26319.07841,26319.07841
184,1128063.228,1198905.5987184,70842.37073,2792.362593,68050.00814,14154.40169,53895.60645,26947.80322,26947.80322
185,1155011.031,1227545.7237468,72534.69278,2859.068107,69675.62467,14492.52993,55183.09474,27591.54737,27591.54737
186,1182602.579,1256870.0209612,74267.44195,2927.36712,71340.07483,14838.73556,56501.33927,28250.66963,28250.66963
187,1210853.248,1286894.8319744,76041.584,2997.297697,73044.28631,15193.21155,57851.07475,28925.53738,28925.53738
188,1239778.786,1317636.8937608,77858.10775,3068.898815,74789.20893,15556.15546,59233.05348,29616.52674,29616.52674
189,1269395.313,1349113.3386564,79718.02563,3142.210381,76575.81525,15927.76957,60648.04568,30324.02284,30324.02284
190,1299719.335,1381341.709238,81622.37426,3217.273254,78405.10101,16308.26101,62096.84,31048.42,31048.42
191,1330767.755,1414339.970014,83572.21504,3294.129271,80278.08577,16697.84184,63580.24393,31790.12196,31790.12196
192,1362557.877,1448126.5116756,85568.6347,3372.821267,82195.81343,17096.72919,65099.08424,32549.54212,32549.54212
193,1395107.419,1482720.1649132,87612.74594,3453.393102,84159.35284,17505.14539,66654.20745,33327.10373,33327.10373
194,1428434.523,1518140.2110444,89705.68806,3535.889681,86169.79838,17923.31806,68246.48031,34123.24016,34123.24016
195,1462557.763,1554406.3905164,91848.62754,3620.356985,88228.27055,18351.48028,69876.79028,34938.39514,34938.39514
196,1497496.159,1591538.9177852,94042.75875,3706.842091,90335.91666,18789.87067,71546.046,35773.023,35773.023
197,1533269.182,1629558.4866296,96289.3046,3795.393201,92493.9114,19238.73357,73255.17783,36627.58891,36627.58891
198,1569896.77,1668486.287156,98589.51718,3886.05967,94703.45751,19698.31916,75005.13835,37502.56918,37502.56918
199,1607399.34,1708344.018552,100944.6785,3978.892029,96965.7865,20168.88359,76796.90291,38398.45145,38398.45145
200,1645797.791,1749153.8922748,103356.1013,4073.94202,99282.15926,20650.68913,78631.47013,39315.73507,39315.73507
201,1685113.526,1790938.6554328,105825.1294,4171.262618,101653.8668,21144.0043,80509.86252,40254.93126,40254.93126
202,1725368.457,1833721.5960996,108353.1391,4270.908065,104082.2311,21649.10406,82433.127,41216.5635,41216.5635
203,1766585.021,1877526.5603188,110941.5393,4372.933897,106568.6054,22166.26993,84402.33549,42201.16774,42201.16774
204,1808786.189,1922377.9616692,113591.7726,4477.39698,109114.3757,22695.79014,86418.58553,43209.29276,43209.29276
205,1851995.481,1968300.7972068,116305.3162,4584.355535,111720.9607,23237.95982,88483.00087,44241.50044,44241.50044
206,1896236.982,2015320.6644696,119083.6825,4693.869175,114389.8133,23793.08116,90596.73212,45298.36606,45298.36606
207,1941535.348,2063463.7678544,121928.4198,4805.998939,117122.4209,24361.46355,92760.95736,46380.47868,46380.47868
208,1987915.827,2112756.9409356,124841.1139,4920.80732,119920.3066,24943.42377,94976.88282,47488.44141,47488.44141
209,2035404.268,2163227.6560304,127823.388,5038.358309,122785.0297,25539.28618,97245.74354,48622.87177,48622.87177
210,2084027.14,2214904.044392,130876.9044,5158.717421,125718.187,26149.38289,99568.80407,49784.40203,49784.40203
211,2133811.542,2267814.9068376,134003.3648,5281.951738,128721.4131,26774.05392,101947.3592,50973.67958,50973.67958
212,2184785.221,2321989.7328788,137204.5119,5408.129946,131796.382,27413.64745,104382.7345,52191.36725,52191.36725
213,2236976.589,2377458.7187892,140482.1298,5537.322368,134944.8074,28068.51994,106876.2875,53438.14373,53438.14373
214,2290414.732,2434252.7771696,143838.0452,5669.601012,138168.4442,28739.03639,109429.4078,54714.70389,54714.70389
215,2345129.436,2492403.5645808,147274.1286,5805.039601,141469.089,29425.57051,112043.5185,56021.75924,56021.75924
216,2401151.195,2551943.490046,150792.2951,5943.713623,144848.5815,30128.50494,114720.0765,57360.03826,57360.03826
217,2458511.234,2612905.7394952,154394.5055,6085.700368,148308.8051,30848.23146,117460.5736,58730.28682,58730.28682
218,2517241.521,2675324.2885188,158082.7675,6231.07897,151851.6885,31585.15121,120266.5373,60133.26865,60133.26865
219,2577374.789,2739233.9257492,161859.1368,6379.930458,155479.2063,32339.67491,123139.5314,61569.7657,61569.7657
220,2638944.555,2804670.273054,165725.718,6532.337793,159193.3803,33112.22309,126081.1572,63040.57858,63040.57858
221,2701985.133,2871669.7993524,169684.6664,6688.38592,162996.2805,33903.22634,129093.0541,64546.52706,64546.52706
222,2766531.661,2940269.8493108,173738.1883,6848.161811,166890.0265,34713.12551,132176.901,66088.45048,66088.45048
223,2832620.111,3010508.6539708,177888.543,7011.754518,170876.7885,35542.372,135334.4165,67667.20823,67667.20823
224,2900287.319,3082425.3626332,182138.0436,7179.255219,174958.7884,36391.42799,138567.3604,69283.68022,69283.68022
225,2969570.999,3156060.0577372,186489.0588,7350.757269,179138.3015,37260.76671,141877.5348,70938.76739,70938.76739
226,3040509.767,3231453.7803676,190944.0134,7526.356257,183417.6571,38150.87268,145266.7844,72633.39221,72633.39221
227,3113143.159,3308648.5493852,195505.3904,7706.15005,187799.2403,39062.24199,148736.9983,74368.49917,74368.49917
228,3187511.658,3387687.3901224,200175.7321,7890.238858,192285.4933,39995.3826,152290.1107,76145.05534,76145.05534
229,3263656.714,3468614.3556392,204957.6416,8078.725283,196878.9163,40950.8146,155928.1017,77964.05087,77964.05087
230,3341620.764,3551474.5479792,209853.784,8271.714376,201582.0696,41929.07048,159652.9991,79826.49957,79826.49957
231,3421447.264,3636314.1521792,214866.8882,8469.3137,206397.5745,42930.69549,163466.879,81733.4395,81733.4395
232,3503180.704,3723180.4522112,219999.7482,8671.633386,211328.1148,43956.24788,167371.8669,83685.93346,83685.93346
233,3586866.637,3812121.8618036,225255.2248,8878.786199,216376.4386,45006.29923,171370.1394,85685.06969,85685.06969
234,3672551.707,3903187.9541996,230636.2472,9090.887593,221545.3596,46081.43479,175463.9248,87731.9624,87731.9624
235,3760283.669,3996429.4834132,236145.8144,9308.055783,226837.7586,47182.2538,179655.5048,89827.75242,89827.75242
236,3850111.422,4091898.4193016,241786.9973,9530.411808,232256.5855,48309.36978,183947.2157,91973.60784,91973.60784
237,3942085.029,4189647.9688212,247562.9398,9758.079598,237804.8602,49463.41093,188341.4493,94170.72466,94170.72466
238,4036255.754,4289732.6153512,253476.8614,9991.186043,243485.6753,50645.02046,192840.6548,96420.32742,96420.32742
239,4132676.081,4392208.1388868,259532.0579,10229.86106,249302.1968,51854.85694,197447.3399,98723.66995,98723.66995
240,4231399.751,4497131.6553628,265731.9044,10474.23769,255257.6667,53093.59467,202164.072,101082.036,101082.036
241,4332481.787,4604561.6432236,272079.8562,10724.45212,261355.4041,54361.92406,206993.4801,103496.74,103496.74
242,4435978.527,4714557.9784956,278579.4515,10980.64381,267598.8077,55660.552,211938.2557,105969.1279,105969.1279
243,4541947.655,4827181.967734,285234.3128,11242.95555,273991.3572,56990.2023,217001.1549,108500.5775,108500.5775
244,4650448.233,4942496.3820324,292048.149,11511.53354,280536.6155,58351.61602,222184.9995,111092.4997,111092.4997
245,4761540.732,5060565.4899696,299024.758,11786.52747,287238.2305,59745.55195,227492.6786,113746.3393,113746.3393
246,4875287.072,5181455.1001216,306168.0281,12068.09061,294099.9375,61172.787,232927.1505,116463.5753,116463.5753
247,4991750.647,5305232.5876316,313481.9406,12356.37988,301125.5608,62634.11664,238491.4441,119245.7221,119245.7221
248,5110996.369,5431966.9409732,320970.572,12651.55597,308319.016,64130.35533,244188.6607,122094.3303,122094.3303
249,5233090.699,5561728.7948972,328638.0959,12953.78339,315684.3125,65662.33701,250021.9755,125010.9878,125010.9878
250,5358101.687,5694590.4729436,336488.786,13263.23059,323225.5554,67230.91552,255994.6398,127997.3199,127997.3199
251,5486099.007,5830626.0246396,344527.0176,13580.07004,330946.9476,68836.9651,262109.9825,131054.9913,131054.9913
252,5617153.998,5969911.2690744,352757.2711,13904.47832,338852.7928,70481.3809,268371.4119,134185.7059,134185.7059
253,5751339.704,6112523.8374112,361184.1334,14236.63625,346947.4972,72165.07941,274782.4178,137391.2089,137391.2089
254,5888730.913,6258543.2143364,369812.3013,14576.72895,355235.5724,73888.99906,281346.5733,140673.2867,140673.2867
255,6029404.2,6408050.78376,378646.5837,14924.94598,363721.6378,75654.10066,288067.5371,144033.7686,144033.7686
256,6173437.968,6561129.8723904,387691.9044,15281.48141,372410.423,77461.36798,294949.055,147474.5275,147474.5275
257,6320912.496,6717865.8007488,396953.3047,15646.53396,381306.7708,79311.80832,301994.9625,150997.4812,150997.4812
258,6471909.977,6878345.9235556,406435.9466,16020.30708,390415.6395,81206.45301,309209.1865,154604.5932,154604.5932
259,6626514.57,7042659.684996,416145.115,16403.00911,399742.1059,83146.35803,316595.7479,158297.8739,158297.8739
260,6784812.444,7210898.6654832,426086.2215,16794.85333,409291.3682,85132.60458,324158.7636,162079.3818,162079.3818
261,6946891.826,7383156.6326728,436264.8067,17196.05815,419068.7485,87166.29969,331902.4488,165951.2244,165951.2244
262,7112843.051,7559529.5946028,446686.5436,17606.84717,429079.6964,89248.57685,339831.1195,169915.5598,169915.5598
263,7282758.61,7740115.850708,457357.2407,18027.44935,439329.7914,91380.59661,347949.1948,173974.5974,173974.5974
264,7456733.208,7925016.0534624,468282.8454,18458.09911,449824.7463,93563.54724,356261.1991,178130.5995,178130.5995
265,7634863.807,8114333.2540796,479469.4471,18899.03647,460570.4106,95798.64541,364771.7652,182385.8826,182385.8826
266,7817249.69,8308172.970532,490923.2805,19350.50719,471572.7733,98087.13685,373485.6365,186742.8182,186742.8182
267,8003992.508,8506643.2375024,502650.7295,19812.76289,482837.9666,100430.2971,382407.6696,191203.8348,191203.8348
268,8195196.343,8709854.6733404,514658.3303,20286.06122,494372.2691,102829.432,391542.8371,195771.4186,195771.4186
269,8390967.761,8917920.5363908,526952.7754,20770.66596,506182.1095,105285.8788,400896.2307,200448.1153,200448.1153
270,8591415.877,9130956.7940756,539540.9171,21266.8472,518274.0699,107801.0065,410473.0633,205236.5317,205236.5317
271,8796652.408,9349082.1792224,552429.7712,21774.88151,530654.8897,110376.2171,420278.6727,210139.3363,210139.3363
272,9006791.745,9572418.266586,565626.5216,22295.05201,543331.4696,113012.9457,430318.5239,215159.2619,215159.2619
273,9221951.007,9801089.5302396,579138.5232,22827.64864,556310.8746,115712.6619,440598.2127,220299.1063,220299.1063
274,9442250.113,10035223.4200964,592973.3071,23372.96824,569600.3389,118476.8705,451123.4684,225561.7342,225561.7342
275,9667811.847,10274950.4309916,607138.584,23931.31473,583207.2693,121307.112,461900.1573,230950.0786,230950.0786
276,9898761.926,10520404.1749528,621642.2489,24502.99932,597139.2496,124204.9639,472934.2857,236467.1429,236467.1429
277,10135229.07,10771721.455596,636492.3855,25088.34063,611404.0449,127172.0413,484232.0036,242116.0018,242116.0018
,,,,,,,,,
"TAX NOTE: Budget 2024 (Jul 2024) changed STCG on listed equity to 20% (was 15%). Model updated. If holding > 12 months (LTCG): 12.5% tax on gains above ₹1.25L. If income > ₹50L, surcharge applies → effective rate ~22.9%. Adjust manually in that case.",,,,,,,,,
